ranking,player_name,position,age,club_name,best_value_career,currency_best_value_career,market_value,currency_market_value,player_image,nation_image,club_image,last_update
64,Luan Cândido,Lateral Esq.,23,RB Bragantino,6.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/432166-1662650775.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/8793.png?lm=1577915313,2023-12-11
65,Bruno Zapelli,Meia Ofensivo,21,Athletico Paranaense,5.5,mi. €,5.5,mi. €,https://img.a.transfermarkt.technology/portrait/medium/711600-1675102471.JPG?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/679.png?lm=1548711363,2023-12-11
66,Léo Pereira,Zagueiro,28,CR Flamengo,5.5,mi. €,5.5,mi. €,https://img.a.transfermarkt.technology/portrait/medium/288431-1676125816.jpeg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
67,Igor Coronado,Meia Ofensivo,31,SC Corinthians,6.5,mi. €,5.5,mi. €,https://img.a.transfermarkt.technology/portrait/medium/215915-1703280013.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/199.png?lm=1649430398,2023-12-15
68,Ferreirinha,Ponta Esquerda,26,São Paulo FC,9.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/689017-1607329716.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/585.png?lm=1409133922,2023-12-11
69,James Rodríguez,Meia Ofensivo,32,São Paulo FC,80.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/88103-1540568385.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/83.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/585.png?lm=1409133922,2023-12-11
70,Matheus Pereira,Meia Ofensivo,27,Cruzeiro EC,15.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/225984-1697289790.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/609.png?lm=1704193039,2023-12-11
71,Agustín Canobbio,Ponta Direita,25,Athletico Paranaense,5.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/457533-1640888865.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/679.png?lm=1548711363,2023-12-11
72,Maycon,Meia Central,26,SC Corinthians,8.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/421935-1641992736.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/199.png?lm=1649430398,2023-12-11
73,Wesley,Ponta Esquerda,24,SC Internacional,7.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/674732-1582108622.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/6600.png?lm=1644878605,2023-12-11
74,Marlon,Zagueiro,28,Fluminense FC,10.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/273236-1627167047.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/2462.png?lm=1648225934,2023-12-11
75,Vitinho,Ponta Esquerda,24,RB Bragantino,5.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/670965-1627635805.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/8793.png?lm=1577915313,2023-12-11
76,Luiz Araújo,Ponta Direita,27,CR Flamengo,10.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/435485-1678216252.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
77,Felipe Carballo,Meia Central,27,Grêmio FBPA,5.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/394930-1651064533.JPG?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/210.png?lm=1412879265,2023-12-11
78,Fabinho,Volante,21,SE Palmeiras,5.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/627230-1660908217.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/1023.png?lm=1411204983,2023-12-11
79,Yeferson Soteldo,Ponta Esquerda,26,Grêmio FBPA,10.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/312294-1647975597.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/182.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/210.png?lm=1412879265,2023-12-11
80,Marlon,Lateral Esq.,26,Cruzeiro EC,5.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/406675-1669119169.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/609.png?lm=1704193039,2023-12-11
81,João Pedro,Centroavante,31,Grêmio FBPA,18.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/129129-1665589260.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/210.png?lm=1412879265,2023-12-11
82,Caio Alexandre,Volante,24,EC Bahia,5.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/727751-1630778955.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/10010.png?lm=1412879423,2023-12-11
83,Victor Hugo,Meia Central,19,CR Flamengo,5.0,mi. €,5.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/749559-1660511634.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
