ranking,player_name,position,age,club_name,best_value_career,currency_best_value_career,market_value,currency_market_value,player_image,nation_image,club_image,last_update
53,Helinho,Ponta Direita,23,RB Bragantino,6.5,mi. €,6.5,mi. €,https://img.a.transfermarkt.technology/portrait/medium/412365-1558599995.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/8793.png?lm=1577915313,2023-12-11
54,Gustavo Scarpa,Meia Ofensivo,30,Atlético Mineiro,12.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/330085-1671798544.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/330.png?lm=1411033853,2023-12-20
55,Praxedes,Meia Central,22,CR Vasco da Gama,6.5,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/574765-1662650599.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/978.png?lm=1651168164,2023-12-11
56,Jean Lucas,Meia Central,25,EC Bahia,8.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/578872-1666691882.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/10010.png?lm=1412879423,2023-12-11
57,Erick Pulgar,Volante,30,CR Flamengo,15.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/215616-1643971374.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/33.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
58,Matheus França,Lateral Dir.,23,SC Corinthians,8.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/594226-1639506313.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/199.png?lm=1649430398,2023-12-11
59,Agustín Rossi,Goleiro,28,CR Flamengo,7.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/352324-1685034113.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
60,Félix Torres,Zagueiro,27,SC Corinthians,6.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/468174-1581590460.png?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/44.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/199.png?lm=1649430398,2023-12-29
61,Lucas Piton,Lateral Esq.,23,CR Vasco da Gama,6.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/670201-1597994788.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/978.png?lm=1651168164,2023-12-11
62,Allan,Volante,26,CR Flamengo,7.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/385271-1662409754.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
63,Thiago Maia,Volante,26,CR Flamengo,9.0,mi. €,6.0,mi. €,https://img.a.transfermarkt.technology/portrait/medium/294873-1668860866.jpeg?lm=1,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,https://tmssl.akamaized.net/images/wappen/verysmall/614.png?lm=1551023331,2023-12-11
